,accuracy,precision,recall,f-score
bespoke,0.5672821589575743,0.015625,0.039081582804103565,0.022324543044509558
multi point inspection,0.6145247946643612,0.1161939615736505,0.3102100635075721,0.169062832800852
battery test,0.6835052183042055,0.10129533678756476,0.19101123595505617,0.1323853055696631
tire inflation,0.7819428147965171,0.10278372591006424,0.09379579872984856,0.09808429118773945
hazardous waste,0.8180077811399987,0.12374581939799331,0.0723009281875916,0.09127351218008017
change oil,0.8007163589205212,0.10349462365591398,0.07523204689789936,0.08712871287128712
filter,0.6712159575125054,0.09129458717884759,0.1787982413287738,0.12087186261558784
belts and hoses,0.8127585993948002,0.04608294930875576,0.024425989252564728,0.03192848020434228
air filter,0.8240597789168159,0.1419642857142857,0.07767464582315584,0.10041048310704136
safety systems,0.7960229728895202,0.04885057471264368,0.03321934538348803,0.0395463797615586
nitro fill,0.8409189155808066,0.1664564943253468,0.06448461162677088,0.09295774647887323
repair or refinish,0.983511393812141,0.9316197866149369,0.9384465070835368,0.9350206862983693
